CompID	MZ	Time	isotopes	adduct	pcgroup	name	fold	tstat	pvalue	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	bio	blank	200825_001_scan049_I	200825_002_scan034_I	200825_003_scan011_I	200825_004_scan015_I	200825_005_scan017_I	200825_006_scan021_I	200825_007_scan021_I	200825_008_scan025_I	200825_009_scan020_I	200825_010_scan016_I	200825_011_scan020_I	200825_012_scan017_I	200825_013_scan013_I	200825_014_scan019_I	200825_015_scan017_I	200825_016_scan015_I	200825_017_scan015_I	200825_018_scan018_I	200825_019_scan022_I	200825_020_scan020_I	200825_021_scan013_I	200825_022_scan014_I	200825_023_scan021_I	200825_024_scan013_I	200825_025_scan014_I	200825_026_scan011_I	200825_027_scan013_I	200825_028_scan019_I	200825_029_scan019_I
558	380.218	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19484.08804	9434.76038	7159.931466	9400.556778	21721.08004	10512.51176	14706.33617	15558.0015	10160.46073	15627.77239	10195.06653	12087.97949	15806.84242	11770.29015	11063.73287	11982.6083	12362.44872	13405.10755	12332.74087	13567.05053	11810.91346	13214.61831	12247.98799	11012.91496	8796.048024	11350.81791	9238.431216	6802.267134	11948.72436
559	380.225	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16613.1951	8120.393197	8208.467234	9245.105053	17885.98749	8720.936968	14599.81041	13102.92946	10247.01701	15452.70485	8685.155078	13563.5953	16754.3962	13663.78089	9797.093047	11283.58929	11596.21011	11478.2026	13923.84742	13160.56778	12743.63432	13805.09855	12750.87244	13021.92596	9527.409205	11774.91246	8720.454727	7120.154577	14142.92846
560	380.233	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13965.52014	6983.274206	4900.345259	8423.77283	13789.61721	7789.531399	13589.12209	12183.08431	11638.55241	14872.74931	10922.64699	10109.16888	14388.34351	11471.59645	10386.17113	11112.59895	14817.50488	8563.161121	12441.67025	15286.29747	11448.57668	11267.29472	12692.90868	12349.39054	9243.705529	13017.9377	8961.741306	6496.833125	12625.0628
561	380.241	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12067.13707	5717.671336	6243.294147	7967.986243	15447.12431	9103.356178	12414.8059	10595.93072	10811.82891	11341.84992	9290.442471	13619.38994	13001.18334	10012.9022	9433.561281	11874.16283	12364.54802	11067.85168	12058.38344	14771.8952	13507.15708	14604.11556	11655.47324	13089.66508	9624.776888	11012.44522	9994.266133	5902.3992	10670.90995
562	380.249	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10293.14721	6161.052685	5295.905722	6939.694984	14468.10915	9171.849508	12553.71213	8158.540207	9275.237459	15942.17721	11102.60726	12385.64381	13014.44542	8782.560373	9437.830098	12198.57222	10705.05445	11930.82506	12987.40081	14468.11092	17430.28863	15738.66347	10960.9453	12777.25637	11624.03453	10135.85808	9479.028233	4367.937988	9202.015629
563	381.224	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7806.377189	5194.486743	5696.31966	5504.817409	13943.35568	7792.526763	9501.1996	10624.88894	7221.676838	9870.976988	7681.43972	9140.91946	11447.37919	7489.162581	6632.081541	7660.574287	7212.93997	8504.441721	7221.442221	11199.04902	9838.106553	11175.17759	10134.14157	8231.41971	5924.972986	8084.370185	7198.792896	4773.149075	7007.082541
564	381.232	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10304.25223	6421.330685	5410.326216	7612.408143	14044.71599	6530.976167	8159.849553	7753.671797	6669.345581	10017.99355	7189.848064	10151.5566	13044.91907	7202.048659	7916.190665	6331.942403	11084.24429	8324.690169	8741.538232	9382.52284	8023.438928	10825.89672	8789.992552	9506.980636	8567.334657	8668.321251	6924.50149	4128.735353	9374.989573
565	381.24	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9074.093547	7348.770885	6450.541771	6867.778889	13422.3912	6221.846423	8326.887944	10331.89495	7806.770885	9251.908454	8306.063032	7853.765383	13320.81191	7767.668834	7525.943972	9158.143572	9639.2006	8204.246623	9703.467734	8583.061531	9563.510755	10461.78389	9703.430215	10824.67834	7270.697849	7167.247624	6238.950475	5252.981491	8099.237119
566	381.248	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9027.2006	5242.266133	5345.116058	6154.833417	11271.54077	5779.677839	7729.723862	8727.358179	7597.702351	11095.33467	8129.367684	7181.683342	9764.703352	7926.052526	7282.42071	8754.189595	9676.926963	9131.822911	8094.990495	8465.330165	8110.330665	9113.546273	8706.566783	7921.885943	8843.34017	7516.137069	7329.855928	5144.267634	7412.672836
567	381.257	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8999.816408	5581.511756	5139.869685	6584.277889	8995.510005	7022.46073	9328.151326	9498.316408	7029.610305	9945.269135	8622.04077	7833.476988	10038.29265	9426.665833	6915.234617	8202.787144	8184.595798	7437.466733	11396.35943	9984.415208	10922.88219	12100.43347	7857.210605	8826.30015	8031.506503	7458.00075	9273.758879	4349.442471	7308.902951
